key_id,key,operation,pX,pY,LR,state,delta,time_diff,time_since_beginning,key_id,press_to_press,release_to_press,hold_time
1,h,1.0,524.0,587.0,0.0,1.0,0.0,0.047,0.7330000000000001,1,0.04700000000000004,0.04700000000000004,0.7330000000000001
2,i,1.0,524.0,587.0,0.0,1.0,0.0,0.031,0.7640000000000001,2,0.062000000000000055,-0.016000000000000014,0.031000000000000028
3,s,1.0,524.0,587.0,0.0,1.0,0.0,0.031,0.8110000000000002,3,0.031000000000000028,-0.015000000000000013,0.04700000000000004
4,space,1.0,524.0,587.0,0.0,1.0,0.0,0.016,0.8580000000000002,4,0.015000000000000013,0.016000000000000014,0.04700000000000004
5,i,1.0,524.0,587.0,0.0,1.0,0.0,0.016,0.8890000000000002,5,0.015000000000000013,0.016000000000000014,0.031000000000000028
6,s,1.0,524.0,587.0,0.0,1.0,0.0,0.016,0.9200000000000003,6,0.031000000000000028,0.016000000000000014,0.031000000000000028
7,space,1.0,524.0,587.0,0.0,1.0,0.0,0.016,0.9360000000000003,7,0.031000000000000028,-0.015000000000000013,0.016000000000000014
8,a,1.0,524.0,587.0,0.0,1.0,0.0,0.015,0.9820000000000003,8,0.1409999999999999,0.015000000000000013,0.04600000000000004
9,space,1.0,524.0,587.0,0.0,1.0,0.0,0.015,1.1380000000000001,9,0.125,0.014999999999999902,0.1559999999999998
10,t,1.0,524.0,587.0,0.0,1.0,0.0,0.078,1.3410000000000002,10,0.125,0.07800000000000007,0.20300000000000007
11,e,1.0,524.0,587.0,0.0,1.0,0.0,0.078,1.5440000000000003,11,0.07800000000000007,0.07800000000000007,0.20300000000000007
12,s,1.0,524.0,587.0,0.0,1.0,0.0,0.172,1.7940000000000003,12,0.1399999999999999,0.17199999999999993,0.25
13,t,1.0,524.0,587.0,0.0,1.0,0.0,0.125,2.059,13,0.09299999999999997,0.125,0.2649999999999999
14,space,1.0,524.0,587.0,0.0,1.0,0.0,0.0,2.152,14,0.10999999999999988,0.0,0.09299999999999997
15,t,1.0,524.0,587.0,0.0,1.0,0.0,0.046,2.308,15,0.09399999999999986,0.04599999999999982,0.1559999999999997
16,o,1.0,524.0,587.0,0.0,1.0,0.0,0.078,2.3859999999999997,16,0.125,-0.016000000000000014,0.07799999999999985
17,space,1.0,524.0,587.0,0.0,1.0,0.0,0.078,2.4799999999999995,17,0.07800000000000029,-0.03100000000000014,0.09399999999999986
18,s,1.0,524.0,587.0,0.0,1.0,0.0,0.094,2.6519999999999997,18,0.12400000000000011,0.09399999999999986,0.17200000000000015
19,e,1.0,524.0,587.0,0.0,1.0,0.0,0.078,2.8539999999999996,19,0.06300000000000017,0.07799999999999985,0.20199999999999996
