y_true,y_pred
1.0,0.997459
0.0,0.9997583
0.0,0.99918526
1.0,0.99746037
1.0,1.0
0.0,0.9999429
0.0,0.9879843
1.0,0.29779255
0.0,0.95851696
1.0,0.004187983
1.0,0.99912375
0.0,0.8533009
1.0,0.99532545
0.0,0.008039814
1.0,0.99999166
1.0,0.7591026
0.0,0.9623791
1.0,0.8793785
0.0,0.9999254
1.0,1.0
1.0,0.9497996
0.0,0.9999471
0.0,0.93089885
0.0,0.2616446
1.0,0.9988475
0.0,0.99915445
1.0,0.9924528
1.0,0.80770916
0.0,0.15892869
1.0,0.9999099
1.0,0.95998144
0.0,0.08257169
1.0,0.13400312
0.0,0.32020593
0.0,0.019878898
0.0,0.4402045
