y_true,y_pred
1.0,0.9161768
0.0,0.0024626849
0.0,0.6202117
1.0,0.93414843
1.0,0.17565754
0.0,0.9998963
0.0,0.8808327
1.0,0.8694257
0.0,0.106510036
1.0,0.99643373
1.0,0.9048084
0.0,0.40450934
1.0,0.3672539
0.0,0.9941127
1.0,0.8247764
1.0,0.99966717
0.0,0.004264819
1.0,0.26817855
0.0,0.0021339618
1.0,0.29722366
1.0,0.9953571
0.0,0.057380516
0.0,0.4502445
0.0,0.07598007
1.0,0.99034005
0.0,0.08978544
1.0,0.99999034
1.0,0.99897134
0.0,0.0016759654
1.0,0.99835324
1.0,0.99999785
0.0,0.48349422
1.0,0.9999993
0.0,0.9997093
0.0,0.06586419
0.0,0.20373195
0.0,0.00828384
0.0,0.74217635
