y_true,y_pred
1.0,0.9327469
0.0,0.67797536
0.0,0.99995685
1.0,0.90019524
1.0,0.9601949
0.0,0.01460352
0.0,0.60115755
1.0,0.99340385
0.0,0.49506536
1.0,0.26280296
1.0,0.7373189
0.0,0.65963274
1.0,0.99999964
0.0,0.64039856
1.0,0.90507746
1.0,0.09046126
0.0,0.5766597
1.0,0.75194734
0.0,0.14969644
1.0,0.90990365
1.0,0.9830403
0.0,0.07891135
0.0,0.3504728
0.0,0.77024865
1.0,0.019908547
0.0,0.33586702
1.0,0.9630538
1.0,0.6009953
0.0,0.5395072
1.0,0.9269657
1.0,0.8133198
0.0,0.82341945
1.0,0.8251177
0.0,0.19561468
0.0,0.5480205
0.0,0.6517283
