y_true,y_pred
1.0,0.9999993
0.0,0.8893916
0.0,0.5886
1.0,0.04478738
1.0,1.0
0.0,0.13391441
0.0,0.68499374
1.0,0.99955434
0.0,0.018403344
1.0,1.0
1.0,0.99993324
0.0,0.07456074
1.0,0.99594396
0.0,0.7129757
1.0,0.14088407
1.0,0.9919064
0.0,0.0055735554
1.0,0.9999995
0.0,0.025208842
1.0,1.0
1.0,1.0
0.0,0.372696
0.0,0.7907117
0.0,0.33481547
1.0,0.9838071
0.0,0.7274823
1.0,0.99994314
1.0,0.99989414
0.0,0.00293492
1.0,0.99868304
1.0,0.98323524
0.0,0.09084544
1.0,0.643815
0.0,0.23875919
0.0,0.61188304
0.0,0.06936907
0.0,0.020530248
0.0,0.0013887032
1.0,0.99843496
1.0,0.97609395
1.0,0.9925553
0.0,0.9313176
1.0,0.93406415
0.0,0.25692704
1.0,0.9999999
1.0,0.9971648
0.0,0.057181843
