y_true,y_pred
1.0,0.9998976
0.0,0.9285005
0.0,0.40636486
1.0,0.85458344
1.0,0.98659945
0.0,0.99999726
0.0,0.9990637
1.0,0.99975616
0.0,0.93591607
1.0,0.999413
1.0,0.99890625
0.0,0.26715
1.0,0.9868355
0.0,0.08181169
1.0,0.45521688
1.0,0.9999306
0.0,0.99999833
1.0,0.99991727
0.0,0.9999999
1.0,0.007098723
1.0,0.8268479
0.0,0.00657464
0.0,0.08643751
0.0,0.014889954
1.0,0.9985543
0.0,0.9962792
1.0,0.1663523
1.0,0.90610933
0.0,0.07196032
1.0,0.9996113
1.0,0.9891943
0.0,0.3521562
1.0,0.99973303
0.0,0.13376537
0.0,0.95126534
0.0,0.99450856
