y_true,y_pred
1.0,0.08519957
0.0,0.09175708
0.0,0.020781042
1.0,0.7381867
1.0,0.29561624
0.0,0.22297582
0.0,0.0036131216
1.0,0.9254792
0.0,0.2473734
1.0,0.86400247
1.0,0.23274025
0.0,0.06895729
1.0,0.9897927
0.0,0.75758344
1.0,0.87394214
1.0,0.34886643
0.0,0.08440404
1.0,0.12899195
0.0,0.06239133
1.0,0.95639366
1.0,0.96807486
0.0,0.25551522
0.0,0.1171633
0.0,0.16423139
1.0,0.72578305
0.0,0.028735178
1.0,0.21202031
1.0,0.67285293
0.0,0.7910043
1.0,0.6267958
1.0,0.8410026
0.0,0.14147095
1.0,0.4335756
0.0,0.0121722
