y_true,y_pred
1.0,0.0961028
0.0,0.00027596997
0.0,0.99880826
1.0,0.02903185
1.0,0.9996954
0.0,0.61422706
0.0,0.98638433
1.0,0.9995876
0.0,0.99966717
1.0,0.4788462
1.0,0.1261573
0.0,0.99999833
1.0,0.9928798
0.0,0.99821633
1.0,0.9999695
1.0,0.9997582
0.0,0.9999988
1.0,0.99984956
0.0,0.9940865
1.0,0.9999993
1.0,0.9736049
0.0,0.99999845
0.0,0.90039766
0.0,0.99999964
1.0,0.9990767
0.0,0.99999726
1.0,0.9999999
1.0,0.9993299
0.0,0.018386504
1.0,0.9969645
1.0,0.7922352
0.0,0.038828887
1.0,0.9999728
0.0,0.8662098
0.0,0.0022524707
0.0,0.92885774
0.0,0.974961
