y_true,y_pred
1.0,0.9996799
0.0,0.20121923
0.0,0.5662569
1.0,0.99454826
1.0,0.99385625
0.0,0.06761371
0.0,0.1932204
1.0,0.99996245
0.0,0.6246519
1.0,0.9999927
1.0,0.051947102
0.0,0.8803162
1.0,0.9999957
0.0,0.91247994
1.0,0.99947375
1.0,0.56205636
0.0,0.99905735
1.0,0.99989593
0.0,0.11748779
1.0,0.9884567
1.0,0.9954266
0.0,0.3266927
0.0,0.20788422
0.0,0.010190548
1.0,0.8986976
0.0,0.0149755245
1.0,0.9804868
1.0,0.99957055
0.0,0.7333107
1.0,0.66696936
1.0,0.9999311
0.0,0.6785282
1.0,0.9063432
0.0,0.99999213
0.0,0.62382174
