y_true,y_pred
1.0,0.99928564
0.0,0.8600918
0.0,0.8093797
1.0,0.99216026
1.0,0.93274194
0.0,0.9314023
0.0,0.6567201
1.0,0.94338214
0.0,0.6034076
1.0,0.9330587
1.0,0.9894456
0.0,0.15814835
1.0,0.9824071
0.0,0.91269875
1.0,0.8016022
1.0,0.73648643
0.0,0.038091637
1.0,0.9998579
0.0,0.7138469
1.0,0.85329026
1.0,0.6086079
0.0,0.9970716
0.0,0.9042234
0.0,0.37508625
1.0,0.9999374
0.0,0.5516376
1.0,0.7988947
1.0,0.80742437
0.0,0.3416625
1.0,0.9985843
1.0,0.9550588
0.0,0.29670486
1.0,0.05296575
0.0,0.39602345
0.0,0.6925918
0.0,0.6777787
