y_true,y_pred
1.0,0.99494123
0.0,0.9976981
0.0,0.92285186
1.0,0.99907553
1.0,0.9977245
0.0,0.36411944
0.0,4.1632895e-05
1.0,0.9999969
0.0,0.00033254214
1.0,0.000617617
1.0,0.31880954
0.0,0.288407
1.0,0.9999993
0.0,0.00063419953
1.0,0.84454185
1.0,0.9997651
0.0,0.40128446
1.0,0.98345053
0.0,0.05837183
1.0,0.0056801788
1.0,0.9436773
0.0,0.0740778
0.0,0.071763314
0.0,0.10448201
1.0,0.9999933
0.0,0.80569476
1.0,0.98567593
1.0,0.99281174
0.0,0.08108957
1.0,0.9960367
1.0,0.99999595
0.0,0.74076855
1.0,0.99994886
0.0,0.04245736
0.0,0.9769042
0.0,0.96641505
