y_true,y_pred
1.0,0.59925616
0.0,0.9998416
0.0,0.5628492
1.0,0.9614836
1.0,0.99948525
0.0,0.042770773
0.0,0.8917388
1.0,0.9936295
0.0,0.9975274
1.0,0.9892953
1.0,0.025216345
0.0,0.81405324
1.0,0.84901786
0.0,0.9994759
1.0,0.9351809
1.0,0.9083336
0.0,0.29377496
1.0,0.02056287
0.0,0.99869823
1.0,0.99999833
1.0,0.96249336
0.0,0.9996903
0.0,0.9839166
0.0,0.7758982
1.0,0.99904615
0.0,0.9998196
1.0,0.5400259
1.0,0.9985896
0.0,0.9292019
1.0,0.93168867
1.0,0.46454644
0.0,0.9171283
1.0,0.89234656
0.0,0.0100281015
0.0,0.21373324
0.0,0.9999044
0.0,0.99950564
0.0,0.998336
