y_true,y_pred
1.0,0.8795645
0.0,0.9363978
0.0,0.9717425
1.0,0.9803467
1.0,0.69542325
0.0,0.99693453
0.0,0.9769578
1.0,0.9999987
0.0,0.981013
1.0,0.7301877
1.0,0.9781877
0.0,0.8240007
1.0,0.99553466
0.0,0.99653196
1.0,0.99793196
1.0,0.99093926
0.0,0.94958586
1.0,0.9715617
0.0,0.8609007
1.0,0.9239792
1.0,0.9999809
0.0,0.7285629
0.0,0.954613
0.0,0.032485664
1.0,0.99919826
0.0,0.97480214
1.0,0.9908997
1.0,0.7835672
0.0,0.9714953
1.0,0.97116774
1.0,0.56371415
0.0,0.8059847
1.0,0.19229852
0.0,0.017195966
