y_true,y_pred
1.0,0.99997437
0.0,0.78131247
0.0,0.9798685
1.0,0.9981811
1.0,0.9999994
0.0,0.997413
0.0,0.84373456
1.0,0.9842173
0.0,0.9679833
1.0,0.9495207
1.0,0.9986681
0.0,0.16784863
1.0,0.99978334
0.0,0.28241867
1.0,1.0
1.0,0.08602859
0.0,0.21430442
1.0,0.7017779
0.0,0.7368856
1.0,1.0
1.0,0.9999989
0.0,0.6810561
0.0,0.9999995
0.0,0.8486864
1.0,0.99671835
0.0,0.3325202
1.0,0.9997048
1.0,0.9999696
0.0,0.44826
1.0,0.76951516
1.0,0.9999682
0.0,0.113991864
1.0,0.78705424
0.0,0.98599744
0.0,0.45862463
0.0,0.051015854
0.0,0.8229296
0.0,0.9991173
